 0.7500000E-01 -.9077558E-02 0.8500940E-02 -.3300763E-02 0.5194543    
 0.1250000     -.2655150E-01 0.9791248E-02 -.8897329E-02 0.4787100    
 0.1750000     -.3902331E-01 0.1275120E-01 -.1128228E-01 0.4130236    
 0.2250000     -.5906275E-01 0.1800955E-01 -.1416103E-01 0.3425179    
 0.2750000     -.5438378E-01 0.2541449E-01 -.1095817E-01 0.2878530    
 0.3250000     -.6491300E-01 0.3561122E-01 -.1111779E-01 0.2446745    
 0.3750000     -.1140364     0.4940624E-01 -.1695928E-01 0.2124545    
 0.4250000     -.6787417E-01 0.6831060E-01 -.8771109E-02 0.1846086    
 0.5500000     -.6665117E-01 0.7063608E-01 -.6706249E-02 0.1437388    

